#  Table pcf160bwsys.tab  Mon 12:21:07 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1216.     3.996684E-4
          1217.34     4.068969E-4
         1218.682     4.142192E-4
         1220.026     4.216199E-4
         1221.371     4.278348E-4
         1222.717     4.341186E-4
         1224.065     4.404793E-4
         1225.414     4.469131E-4
         1226.765     4.534218E-4
         1228.117     4.600056E-4
         1229.471     4.666648E-4
         1230.826     4.726674E-4
         1232.183     4.782644E-4
         1233.542     4.839183E-4
         1234.901     4.896219E-4
         1236.262     4.953833E-4
         1237.625     5.011978E-4
         1238.989     5.070714E-4
         1240.355     5.127479E-4
         1241.722     5.177343E-4
         1243.091     5.227636E-4
         1244.461     5.278332E-4
         1245.833     5.329411E-4
         1247.207     5.380951E-4
         1248.582     5.432884E-4
         1249.957     5.485202E-4
         1251.335     5.530642E-4
         1252.715     5.576155E-4
         1254.095     5.621951E-4
         1255.478     5.668096E-4
         1256.862     5.714528E-4
         1258.247     5.761245E-4
         1259.634     5.808297E-4
         1261.023     5.850947E-4
         1262.413     5.892143E-4
         1263.805     5.933565E-4
         1265.198     5.975210E-4
         1266.592     6.017062E-4
         1267.989     6.059165E-4
         1269.387     6.101514E-4
         1270.786     6.140941E-4
         1272.187     6.178130E-4
         1273.588     6.215460E-4
         1274.992     6.252968E-4
         1276.399     6.290654E-4
         1277.805     6.328466E-4
         1279.214     6.366451E-4
         1280.624     6.402637E-4
         1282.035     6.436448E-4
         1283.449     6.470403E-4
         1284.864     6.504449E-4
          1286.28     6.538582E-4
         1287.698     6.572847E-4
         1289.117     6.607217E-4
         1290.538     6.640453E-4
         1291.961     6.671729E-4
         1293.385     6.703074E-4
         1294.811     6.734480E-4
         1296.238     6.765969E-4
         1297.668     6.797548E-4
         1299.098     6.829171E-4
          1300.53     6.856611E-4
         1301.963     6.876818E-4
         1303.398     6.897037E-4
         1304.835     6.917289E-4
         1306.274     6.937569E-4
         1307.713     6.957853E-4
         1309.155     6.978168E-4
         1310.597     6.997791E-4
         1312.042     7.016443E-4
         1313.489     7.035102E-4
         1314.937     7.053777E-4
         1316.386     7.072440E-4
         1317.837     7.091118E-4
          1319.29     7.109796E-4
         1320.744     7.127791E-4
           1322.2     7.145118E-4
         1323.657     7.162439E-4
         1325.117     7.179757E-4
         1326.578     7.197068E-4
         1328.039     7.214364E-4
         1329.503     7.231663E-4
         1330.969     7.248132E-4
         1332.436     7.264162E-4
         1333.905     7.280177E-4
         1335.376     7.296175E-4
         1336.847     7.312145E-4
         1338.321     7.328106E-4
         1339.796     7.344048E-4
         1341.273     7.359245E-4
         1342.752     7.374302E-4
         1344.232     7.389332E-4
         1345.713     7.404328E-4
         1347.197     7.419304E-4
         1348.682     7.434256E-4
         1350.169     7.449104E-4
         1351.657     7.463356E-4
         1353.146     7.477566E-4
         1354.638     7.490973E-4
         1356.131     7.503303E-4
         1357.627     7.515604E-4
         1359.123     7.527857E-4
         1360.621     7.539928E-4
         1362.121     7.551751E-4
         1363.622     7.563527E-4
         1365.126     7.575277E-4
          1366.63     7.586972E-4
         1368.137     7.598633E-4
         1369.645     7.610252E-4
         1371.155     7.621820E-4
         1372.667     7.633357E-4
          1374.18     7.644844E-4
         1375.694     7.656284E-4
         1377.211     7.667684E-4
         1378.729     7.679042E-4
         1380.249     7.690392E-4
         1381.771     7.701879E-4
         1383.294     7.713324E-4
         1384.818     7.724719E-4
         1386.345     7.736078E-4
         1387.874     7.747398E-4
         1389.403     7.758662E-4
         1390.935     7.770246E-4
         1392.468     7.782017E-4
         1394.002     7.793742E-4
          1395.54     7.805435E-4
         1397.078     7.817084E-4
         1398.618     7.828685E-4
          1400.16     7.838574E-4
         1401.703     7.833888E-4
         1403.248     7.829162E-4
         1404.795     7.824390E-4
         1406.343     7.819578E-4
