#  Table pcf380wsys.tab  Mon 12:21:10 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1850.     1.155190E-6
         1851.651     9.757357E-7
         1853.301     7.946668E-7
         1854.956     6.114493E-7
         1856.611     4.266674E-7
         1858.267     2.400558E-7
         1859.925     5.149324E-8
         1861.584     8.918538E-8
         1863.246     1.380841E-7
         1864.909     1.874643E-7
         1866.572     2.372919E-7
         1868.237     2.876054E-7
         1869.904     3.384335E-7
         1871.573     3.563633E-7
         1873.242     3.724066E-7
         1874.913     3.885960E-7
         1876.585     4.049333E-7
          1878.26     4.214315E-7
         1879.937     4.379093E-7
         1881.613     3.909050E-7
         1883.292     3.409789E-7
         1884.973     2.905866E-7
         1886.654     2.397851E-7
         1888.338     1.885103E-7
         1890.023     1.376132E-7
         1891.709     1.459150E-7
         1893.396     1.542849E-7
         1895.086     1.627275E-7
         1896.775     1.712277E-7
         1898.469     1.798120E-7
         1900.163     1.887872E-7
         1901.857     2.008924E-7
         1903.555     2.131127E-7
         1905.254     2.254336E-7
         1906.953     2.378464E-7
         1908.655     2.503675E-7
         1910.357     2.555704E-7
         1912.061     2.327622E-7
         1913.768     2.097364E-7
         1915.476     1.865039E-7
         1917.184     1.630789E-7
         1918.894     1.394459E-7
         1920.606     1.203708E-7
          1922.32     1.098612E-7
         1924.035     9.925728E-8
         1925.752     8.856419E-8
          1927.47     7.777016E-8
         1929.189     6.688642E-8
          1930.91     6.191470E-8
         1932.634     6.227400E-8
         1934.358     6.263468E-8
         1936.084     6.299651E-8
         1937.811     6.335976E-8
          1939.54     6.372463E-8
          1941.27     7.456348E-8
         1943.003     8.931457E-8
         1944.737     1.041919E-7
          1946.47     1.191769E-7
         1948.207     1.343068E-7
         1949.947     1.495728E-7
         1951.685     1.301979E-7
         1953.427     1.095291E-7
         1955.171     8.867828E-8
         1956.913     6.767007E-8
          1958.66     4.645237E-8
         1960.408     2.913635E-8
         1962.157     2.516205E-8
         1963.908     2.114998E-8
         1965.658     1.710762E-8
         1967.413     1.302498E-8
         1969.169     8.906450E-9
         1970.925     8.110366E-9
         1972.684     1.033828E-8
         1974.444     1.258380E-8
         1976.205     1.484839E-8
         1977.969     1.713479E-8
         1979.734     1.943768E-8
           1981.5     2.605911E-8
         1983.268     3.350852E-8
         1985.037     4.101695E-8
         1986.809     4.859290E-8
         1988.581     5.622764E-8
         1990.355     6.163028E-8
         1992.131     5.785065E-8
         1993.908     5.403709E-8
         1995.688     5.018473E-8
         1997.467     4.630541E-8
          1999.25     4.238704E-8
         2001.034     3.918018E-8
         2002.818     3.648871E-8
         2004.606     3.376435E-8
         2006.396     3.101340E-8
         2008.184     2.823786E-8
         2009.976     2.543059E-8
         2011.769     2.454142E-8
         2013.565     2.366840E-8
         2015.362     2.278594E-8
         2017.158     2.189518E-8
         2018.958     2.099387E-8
          2020.76     2.199499E-8
         2022.563     2.563570E-8
         2024.368     2.931363E-8
         2026.173     3.302396E-8
         2027.982     3.677189E-8
         2029.791     4.055277E-8
         2031.602     4.294041E-8
         2033.414     4.516064E-8
         2035.228     4.740091E-8
         2037.044     4.966270E-8
         2038.861     5.194335E-8
         2040.681     5.140685E-8
         2042.502     4.609135E-8
         2044.324     4.072675E-8
         2046.147     3.531032E-8
         2047.974     2.983778E-8
           2049.8     2.431582E-8
          2051.63     2.296675E-8
         2053.461     2.212521E-8
         2055.291     2.127612E-8
         2057.125     2.041752E-8
         2058.961     1.955027E-8
         2060.798     2.022491E-8
         2062.637     2.293495E-8
         2064.477     2.566762E-8
         2066.318     2.842446E-8
         2068.164     3.120926E-8
         2070.007     3.399485E-8
         2071.855     3.189634E-8
         2073.704     2.977823E-8
         2075.553     2.764157E-8
         2077.405     2.548515E-8
         2079.259     2.330687E-8
         2081.113     2.267161E-8
         2082.971     2.307507E-8
         2084.829     2.348126E-8
         2086.688     2.389040E-8
          2088.55     2.430283E-8
         2090.414     2.499718E-8
         2092.279     2.667656E-8
         2094.145     2.836934E-8
         2096.014     3.007733E-8
         2097.885     3.179909E-8
         2099.756     3.353374E-8
          2101.63     3.466170E-8
         2103.503     3.570354E-8
         2105.381     3.675438E-8
          2107.26     3.781336E-8
         2109.139     3.887962E-8
         2111.022     3.991191E-8
         2112.906     4.091575E-8
         2114.789     4.192556E-8
         2116.677     4.294399E-8
         2118.564     4.396909E-8
         2120.455     4.435525E-8
         2122.348     4.269505E-8
         2124.241     4.102248E-8
         2126.135     3.933597E-8
         2128.033     3.763479E-8
         2129.932     3.591954E-8
         2131.832     3.511887E-8
         2133.734     3.434590E-8
         2135.637     3.356671E-8
         2137.544     3.278017E-8
          2139.45     3.199549E-8
         2141.359     2.972265E-8
          2143.27     2.682735E-8
         2145.182     2.391094E-8
         2147.096     2.097035E-8
         2149.011     1.800885E-8
         2150.929     1.573805E-8
         2152.848     1.421570E-8
         2154.768     1.268210E-8
         2156.692     1.113524E-8
         2158.615     9.579973E-9
         2160.541     9.052186E-9
