#  Table pcf785lpsys.tab  Mon 12:21:20 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1870.              0.
         1871.658     1.140118E-9
         1873.318     2.291038E-9
         1874.979     3.453921E-9
         1876.642     4.628150E-9
         1878.306     5.812999E-9
         1879.972     7.007373E-9
         1881.639     7.054079E-9
         1883.308     7.081022E-9
         1884.978     7.107991E-9
          1886.65     7.135017E-9
         1888.322     7.162073E-9
         1889.997     7.189185E-9
         1891.674     7.216832E-9
          1893.35     7.244476E-9
          1895.03     7.272194E-9
          1896.71     7.299942E-9
         1898.392     7.327749E-9
         1900.077     7.412118E-9
         1901.761     8.684474E-9
         1903.447     9.967547E-9
         1905.135     1.126222E-8
         1906.824     1.256693E-8
         1908.516     1.388410E-8
         1910.209     1.521149E-8
         1911.903     1.654990E-8
         1913.597     1.789950E-8
         1915.295     1.926112E-8
         1916.993     2.063303E-8
         1918.694     2.201794E-8
         1920.396     2.249881E-8
         1922.098     1.995342E-8
         1923.802     1.738534E-8
         1925.508     1.479298E-8
         1927.216     1.217793E-8
         1928.926     9.539932E-9
         1930.637     7.381177E-9
         1932.347     6.056333E-9
         1934.061     4.718161E-9
         1935.778     3.367447E-9
         1937.494     2.006666E-9
         1939.212    6.331711E-10
         1940.931              0.
         1942.652              0.
         1944.376              0.
         1946.099              0.
         1947.826              0.
         1949.553              0.
         1951.281     1.058072E-9
         1953.012     2.496690E-9
         1954.745     3.947737E-9
         1956.477     5.410322E-9
         1958.213     6.886339E-9
          1959.95     8.374697E-9
         1961.687     7.024174E-9
         1963.427     5.575361E-9
         1965.169     4.113883E-9
         1966.911     2.640629E-9
         1968.655     1.153806E-9
         1970.401              0.
         1972.148              0.
         1973.897              0.
         1975.648              0.
           1977.4              0.
         1979.153              0.
         1980.909              0.
         1982.665              0.
         1984.423              0.
         1986.184              0.
         1987.944              0.
         1989.709              0.
         1991.473              0.
         1993.238              0.
         1995.006              0.
         1996.774              0.
         1998.547              0.
         2000.319              0.
         2002.091              0.
         2003.867              0.
         2005.645              0.
         2007.423              0.
         2009.204              0.
         2010.985              0.
         2012.768              0.
         2014.553              0.
         2016.341              0.
         2018.128              0.
         2019.919              0.
         2021.709              0.
         2023.501              0.
         2025.297              0.
         2027.094              0.
         2028.891              0.
          2030.69              0.
          2032.49              0.
         2034.293              0.
         2036.097              0.
         2037.903              0.
          2039.71              0.
         2041.519              0.
          2043.33              0.
         2045.141              0.
         2046.955              0.
         2048.771              0.
         2050.587              0.
         2052.406              0.
         2054.225              0.
         2056.047              0.
         2057.871              0.
         2059.695              0.
         2061.522              0.
         2063.351              0.
          2065.18              0.
         2067.011              0.
         2068.845              0.
          2070.68              0.
         2072.516              0.
         2074.354              0.
         2076.193              0.
         2078.034              0.
         2079.879              0.
         2081.722              0.
         2083.568              0.
         2085.416              0.
         2087.264              0.
         2089.117              0.
          2090.97              0.
         2092.822              0.
         2094.679              0.
         2096.535              0.
         2098.395              0.
         2100.258              0.
         2102.119              0.
         2103.983              0.
         2105.849              0.
         2107.716              0.
         2109.586              0.
         2111.458              0.
         2113.329              0.
         2115.202              0.
         2117.079              0.
         2118.957              0.
         2120.836              0.
         2122.717              0.
         2124.599              0.
         2126.482              0.
         2128.368              0.
         2130.256              0.
         2132.146              0.
