#  Table pcfquvnsys.tab  Mon 12:23:14 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1909     0.
            1910.    1.062756E-12
            1911.     8.717525E-9
            1912.     1.747490E-8
            1913.     2.627215E-8
            1914.     3.510930E-8
            1915.     4.398638E-8
            1916.     5.290340E-8
            1917.     6.186039E-8
            1918.     7.085627E-8
            1919.     7.989436E-8
            1920.     8.897140E-8
            1921.     8.025683E-8
            1922.     7.150176E-8
            1923.     6.270615E-8
            1924.     5.386999E-8
            1925.     4.499323E-8
            1926.     3.607589E-8
            1927.     2.711791E-8
            1928.     1.811929E-8
            1929.     9.079988E-9
            1930.              0.
            1951.     9.539223E-9
            1952.     1.912121E-8
            1953.     2.874600E-8
            1954.     3.841362E-8
            1955.     4.812406E-8
            1956.     5.787856E-8
            1957.     6.767357E-8
            1958.     7.751267E-8
            1959.     8.739350E-8
            1960.     9.731966E-8
            1961.     8.778123E-8
            1962.     7.820192E-8
            1963.     6.857821E-8
            1964.     5.891125E-8
            1965.     4.920102E-8
            1966.     3.944749E-8
            1967.     2.965064E-8
            1968.     1.981046E-8
            1969.     9.926920E-9
            1970.    1.214430E-12
            1971.              0.
            1990.    1.269622E-12
            1991.     1.041299E-8
            1992.     2.087078E-8
            1993.     3.137339E-8
            1994.     4.192085E-8
            1995.     5.251316E-8
            1996.     6.315035E-8
            1997.     7.383244E-8
            1998.     8.455946E-8
            1999.     9.533137E-8
            2000.     1.061483E-7
            2001.     9.577359E-8
            2002.     8.534800E-8
            2003.     7.486636E-8
            2004.     6.433370E-8
            2005.     5.374608E-8
            2006.     4.310602E-8
            2007.     3.240951E-8
            2008.     2.165906E-8
            2009.     1.085723E-8
            2010.              0.
            3571.     4.852598E-8
            3572.     9.710546E-8
            3573.     1.457504E-7
            3574.     1.944370E-7
            3575.     2.431653E-7
            3576.     2.919591E-7
            3577.     3.408065E-7
            3578.     3.897077E-7
            3579.     4.386505E-7
            3580.     4.876709E-7
            3581.     4.879414E-7
            3582.     4.882119E-7
            3583.     4.884827E-7
            3584.     4.887534E-7
            3585.     4.890242E-7
            3586.     4.892952E-7
            3587.     4.895662E-7
            3588.     4.898373E-7
            3589.     4.901084E-7
            3590.     4.903796E-7
            3591.     4.906514E-7
            3592.     4.909234E-7
            3593.     4.911952E-7
            3594.     4.914673E-7
            3595.     4.917396E-7
            3596.     4.920118E-7
            3597.     4.922840E-7
            3598.     4.925566E-7
            3599.     4.928288E-7
            3600.     4.931014E-7
            3601.     4.933760E-7
            3602.     4.936506E-7
            3603.     4.939254E-7
            3604.     4.942003E-7
            3605.     4.944753E-7
            3606.     4.947501E-7
            3607.     4.950253E-7
            3608.     4.953005E-7
            3609.     4.955756E-7
            3610.     4.958510E-7
            3611.     4.961254E-7
            3612.     4.963999E-7
            3613.     4.966745E-7
            3614.     4.969492E-7
            3615.     4.972239E-7
            3616.     4.974988E-7
            3617.     4.977737E-7
            3618.     4.980487E-7
            3619.     4.983239E-7
            3620.     4.985990E-7
            3621.     4.988779E-7
            3622.     4.991568E-7
            3623.     4.994357E-7
            3624.     4.997147E-7
            3625.     4.999937E-7
            3626.     5.002731E-7
            3627.     5.005524E-7
            3628.     5.008318E-7
            3629.     5.011112E-7
            3630.     5.013909E-7
            3631.     5.518488E-7
            3632.     6.023500E-7
            3633.     6.528948E-7
            3634.     7.035079E-7
            3635.     7.541766E-7
            3636.     8.049015E-7
            3637.     8.556700E-7
            3638.     9.065064E-7
            3639.     9.574115E-7
            3640.     1.008360E-6
            3641.     1.164176E-6
            3642.     1.320088E-6
            3643.     1.476211E-6
            3644.     1.632506E-6
            3645.     1.788974E-6
            3646.     1.945614E-6
            3647.     2.102390E-6
            3648.     2.259414E-6
            3649.     2.416572E-6
            3650.     2.573943E-6
            3651.     2.731382E-6
            3652.     2.889111E-6
            3653.     3.046976E-6
            3654.     3.205053E-6
            3655.     3.363229E-6
            3656.     3.521618E-6
            3657.     3.680181E-6
            3658.     3.838920E-6
            3659.     3.997833E-6
            3660.     4.156882E-6
            3661.     4.316188E-6
            3662.     4.475629E-6
            3663.     4.635283E-6
            3664.     4.794998E-6
            3665.     4.955005E-6
            3666.     5.115149E-6
            3667.     6.397489E-6
            3668.     7.681253E-6
            3669.     8.966437E-6
            3670.     1.025273E-5
            3671.     1.538812E-5
            3672.     2.052891E-5
            3673.     2.567414E-5
            3674.     3.082760E-5
            3675.     3.855590E-5
            3676.     4.629279E-5
            3677.     5.404012E-5
            3678.     6.179225E-5
            3679.     8.114732E-5
            3680.     1.005239E-4
            3681.     1.199219E-4
            3682.     1.393367E-4
            3683.     1.691024E-4
            3684.     1.989110E-4
            3685.     2.287453E-4
