#  Table wf2f160bwsys.tab  Mon 12:21:38 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1216.     4.679715E-4
          1217.34     4.763569E-4
         1218.682     4.848494E-4
         1220.026     4.934312E-4
         1221.371     5.006229E-4
         1222.717     5.078930E-4
         1224.065     5.152510E-4
         1225.414     5.226923E-4
         1226.765     5.302189E-4
         1228.117     5.378312E-4
         1229.471     5.455295E-4
         1230.826     5.524580E-4
         1232.183     5.589107E-4
         1233.542     5.654279E-4
         1234.901     5.720014E-4
         1236.262     5.786406E-4
         1237.625     5.853399E-4
         1238.989     5.921065E-4
         1240.355     5.986408E-4
         1241.722     6.043680E-4
         1243.091     6.101438E-4
         1244.461     6.159649E-4
         1245.833     6.218292E-4
         1247.207     6.277455E-4
         1248.582     6.337063E-4
         1249.957     6.397104E-4
         1251.335     6.449110E-4
         1252.715     6.501186E-4
         1254.095     6.553579E-4
         1255.478     6.606365E-4
         1256.862     6.659473E-4
         1258.247     6.712900E-4
         1259.634     6.766703E-4
         1261.023     6.815365E-4
         1262.413     6.862323E-4
         1263.805     6.909531E-4
         1265.198     6.956987E-4
         1266.592     7.004674E-4
         1267.989     7.052642E-4
         1269.387     7.100884E-4
         1270.786     7.145714E-4
         1272.187     7.187931E-4
         1273.588     7.230301E-4
         1274.992     7.272869E-4
         1276.399     7.315634E-4
         1277.805     7.358536E-4
         1279.214     7.401629E-4
         1280.624     7.442621E-4
         1282.035     7.480845E-4
         1283.449     7.519226E-4
         1284.864     7.557707E-4
          1286.28     7.596280E-4
         1287.698     7.634997E-4
         1289.117     7.673829E-4
         1290.538     7.711335E-4
         1291.961     7.746557E-4
         1293.385     7.781854E-4
         1294.811     7.817213E-4
         1296.238     7.852662E-4
         1297.668     7.888207E-4
         1299.098     7.923796E-4
          1300.53     7.954527E-4
         1301.963     7.976861E-4
         1303.398     7.999207E-4
         1304.835     8.021586E-4
         1306.274     8.043995E-4
         1307.713     8.066405E-4
         1309.155     8.088848E-4
         1310.597     8.110486E-4
         1312.042     8.130996E-4
         1313.489     8.151509E-4
         1314.937     8.172038E-4
         1316.386     8.192552E-4
         1317.837     8.213081E-4
          1319.29     8.233606E-4
         1320.744     8.253336E-4
           1322.2     8.272295E-4
         1323.657     8.291241E-4
         1325.117     8.310181E-4
         1326.578     8.329112E-4
         1328.039     8.348023E-4
         1329.503     8.366936E-4
         1330.969     8.384885E-4
         1332.436     8.402325E-4
         1333.905     8.419746E-4
         1335.376     8.437146E-4
         1336.847     8.454511E-4
         1338.321     8.471865E-4
         1339.796     8.489194E-4
         1341.273     8.505660E-4
         1342.752     8.521963E-4
         1344.232     8.538234E-4
         1345.713     8.554464E-4
         1347.197     8.570670E-4
         1348.682     8.586846E-4
         1350.169     8.602901E-4
         1351.657     8.618265E-4
         1353.146     8.633581E-4
         1354.638     8.647824E-4
         1356.131     8.660631E-4
         1357.627     8.673402E-4
         1359.123     8.686117E-4
         1360.621     8.698622E-4
         1362.121     8.710837E-4
         1363.622     8.722999E-4
         1365.126     8.735126E-4
          1366.63     8.747192E-4
         1368.137     8.759216E-4
         1369.645     8.771191E-4
         1371.155     8.783105E-4
         1372.667     8.794983E-4
          1374.18     8.806802E-4
         1375.694     8.818565E-4
         1377.211     8.830283E-4
         1378.729     8.841950E-4
         1380.249     8.853607E-4
         1381.771     8.865420E-4
         1383.294     8.877185E-4
         1384.818     8.888891E-4
         1386.345     8.900553E-4
         1387.874     8.912170E-4
         1389.403     8.923721E-4
         1390.935     8.935640E-4
         1392.468     8.947772E-4
         1394.002     8.959851E-4
          1395.54     8.971892E-4
         1397.078     8.983880E-4
         1398.618     8.995814E-4
          1400.16     9.005777E-4
         1401.703     8.998999E-4
         1403.248     8.992180E-4
         1404.795     8.985310E-4
         1406.343     8.978401E-4
         1407.894     8.971448E-4
         1409.446     8.964447E-4
         1410.999     8.957693E-4
         1412.555     8.951047E-4
         1414.112     8.944359E-4
          1415.67     8.937633E-4
         1417.231     8.930861E-4
         1418.793     8.924047E-4
         1420.357     8.917146E-4
         1421.923     8.910059E-4
         1423.491     8.902927E-4
         1425.059     8.895757E-4
          1426.63     8.888540E-4
         1428.203     8.881280E-4
         1429.777     8.873977E-4
         1431.354     8.866062E-4
         1432.932     8.858008E-4
          1434.51     8.849915E-4
         1436.092     8.841772E-4
         1437.676     8.833581E-4
          1439.26     8.825356E-4
         1440.847     8.816377E-4
         1442.435     8.806734E-4
         1444.024     8.797051E-4
         1445.617     8.787314E-4
          1447.21     8.777539E-4
         1448.805     8.767713E-4
         1450.402     8.757351E-4
         1452.001     8.745485E-4
         1453.602     8.733560E-4
         1455.205     8.721589E-4
         1456.808     8.709579E-4
         1458.414     8.697512E-4
         1460.022     8.685365E-4
         1461.631     8.670774E-4
         1463.243     8.656134E-4
         1464.856     8.641442E-4
          1466.47     8.626707E-4
         1468.086     8.611911E-4
         1469.706     8.597058E-4
         1471.325     8.579642E-4
         1472.947     8.561603E-4
         1474.571     8.543509E-4
         1476.196     8.525368E-4
         1477.824     8.507156E-4
         1479.453     8.488900E-4
         1481.083     8.468221E-4
         1482.716     8.446276E-4
          1484.35     8.424275E-4
         1485.987     8.402215E-4
         1487.625     8.386369E-4
         1489.264     8.380559E-4
         1490.906     8.372291E-4
         1492.549     8.361986E-4
         1494.195     8.351493E-4
         1495.842     8.340810E-4
         1497.491     8.329938E-4
         1499.142     8.318878E-4
         1500.794     8.295288E-4
         1502.449     8.258127E-4
         1504.105     8.220826E-4
         1505.763     8.183335E-4
         1507.423     8.145671E-4
         1509.084     8.107858E-4
         1510.748     8.068408E-4
         1512.414     8.027066E-4
          1514.08     7.985582E-4
         1515.749     7.943922E-4
         1517.419     7.902122E-4
         1519.093     7.860124E-4
         1520.768     7.817140E-4
         1522.444     7.772998E-4
         1524.122     7.728730E-4
         1525.802     7.684299E-4
         1527.484     7.639729E-4
         1529.168     7.595018E-4
         1530.854     7.549761E-4
          1532.54     7.503994E-4
          1534.23     7.458077E-4
         1535.921     7.412031E-4
         1537.615     7.365842E-4
          1539.31     7.319574E-4
         1541.006     7.273362E-4
         1542.705     7.227164E-4
         1544.405     7.180877E-4
         1546.109     7.122829E-4
         1547.812     7.058773E-4
         1549.518     6.994900E-4
         1551.227     6.932169E-4
         1552.936     6.870045E-4
         1554.648     6.808104E-4
         1556.363     6.746342E-4
         1558.078     6.684847E-4
