#  Table wf2f622wsys.tab  Mon 12:21:49 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1850.     1.206510E-6
         1851.651     4.669653E-7
         1853.301     1.462997E-7
         1854.956     1.448021E-7
         1856.611     4.365482E-7
         1858.267     8.062134E-7
         1859.925     3.062467E-7
         1861.584     2.077121E-7
         1863.246     2.785739E-7
         1864.909     3.377989E-7
         1866.572     4.114326E-7
         1868.237     5.836271E-7
         1869.904     5.776924E-7
         1871.573     2.183461E-7
         1873.242     1.139136E-7
         1874.913     2.899511E-7
         1876.585     4.536364E-7
          1878.26     3.076183E-7
         1879.937     1.743990E-7
         1881.613     2.448810E-7
         1883.292     1.883411E-7
         1884.973     1.090403E-7
         1886.654     6.455482E-8
         1888.338     6.718486E-8
         1890.023     1.243469E-7
         1891.709     3.624718E-7
         1893.396     3.836689E-7
         1895.086     2.956890E-7
         1896.775     1.839299E-7
         1898.469     9.184252E-8
         1900.163     2.130581E-8
         1901.857     4.918074E-9
         1903.555     5.811053E-9
         1905.254     4.688641E-8
         1906.953     6.738183E-8
         1908.655     4.456125E-8
         1910.357     5.446607E-9
         1912.061     3.589951E-9
         1913.768     4.123984E-9
         1915.476     3.186527E-9
         1917.184     3.390652E-9
         1918.894     1.481274E-8
         1920.606     3.909467E-8
          1922.32     6.108488E-8
         1924.035     4.807244E-8
         1925.752     4.932611E-8
          1927.47     5.044823E-8
         1929.189     9.683614E-8
          1930.91     1.160870E-7
         1932.634     7.628626E-8
         1934.358     2.014164E-8
         1936.084     1.163964E-8
         1937.811     1.450755E-8
          1939.54     3.419189E-8
          1941.27     4.297836E-8
         1943.003     2.789845E-8
         1944.737     1.031635E-8
          1946.47     1.860773E-8
         1948.207     6.593302E-8
         1949.947     1.985916E-7
         1951.685     1.784771E-7
         1953.427     1.315244E-7
         1955.171     6.532652E-8
         1956.913     2.319388E-8
          1958.66     1.588699E-8
         1960.408     1.590588E-8
         1962.157     6.122719E-9
         1963.908     1.131630E-8
         1965.658     6.876841E-8
         1967.413     1.248972E-7
         1969.169     1.330848E-7
         1970.925     8.742736E-8
         1972.684     3.206713E-8
         1974.444     1.093704E-8
         1976.205     1.025386E-8
         1977.969     2.010114E-8
         1979.734     1.558315E-8
           1981.5     1.752170E-8
         1983.268     8.688441E-8
         1985.037     2.155740E-7
         1986.809     2.968335E-7
         1988.581     2.719536E-7
         1990.355     2.041242E-7
         1992.131     1.396636E-7
         1993.908     8.701146E-8
         1995.688     5.465873E-8
         1997.467     5.084586E-8
          1999.25     7.264353E-8
         2001.034     9.703574E-8
         2002.818     1.126946E-7
         2004.606     1.115415E-7
         2006.396     7.740663E-8
         2008.184     1.351800E-8
         2009.976     8.218549E-9
         2011.769     3.388858E-8
         2013.565     5.221660E-8
         2015.362     5.120514E-8
         2017.158     4.228707E-8
         2018.958     3.087287E-8
          2020.76     2.357968E-8
         2022.563     2.140819E-8
         2024.368     1.690038E-8
         2026.173     2.536867E-8
         2027.982     6.270353E-8
         2029.791     8.094700E-8
         2031.602     5.569195E-8
         2033.414     4.466494E-8
         2035.228     4.930828E-8
         2037.044     5.435283E-8
         2038.861     5.550027E-8
         2040.681     5.468648E-8
         2042.502     5.166754E-8
         2044.324     5.342045E-8
         2046.147     7.824207E-8
         2047.974     1.066137E-7
           2049.8     9.118423E-8
          2051.63     7.795061E-8
         2053.461     7.857188E-8
         2055.291     6.378134E-8
         2057.125     4.239756E-8
         2058.961     2.933140E-8
         2060.798     3.057035E-8
         2062.637     3.647957E-8
         2064.477     3.164133E-8
         2066.318     2.460208E-8
         2068.164     2.039781E-8
         2070.007     8.043446E-9
         2071.855     4.471044E-9
         2073.704     1.129829E-8
         2075.553     3.854583E-8
         2077.405     3.784906E-8
         2079.259     2.408689E-8
         2081.113     1.610007E-8
         2082.971     1.194009E-8
         2084.829     8.149733E-9
         2086.688     8.920615E-9
          2088.55     1.491429E-8
         2090.414     2.155144E-8
         2092.279     2.972195E-8
         2094.145     3.616816E-8
         2096.014     2.368555E-8
         2097.885     9.632404E-9
         2099.756     7.692193E-9
          2101.63     1.206800E-8
         2103.503     8.289974E-9
         2105.381     6.640156E-9
          2107.26     9.166409E-9
         2109.139     7.674599E-9
         2111.022     6.186764E-9
         2112.906     1.746691E-8
         2114.789     3.682329E-8
         2116.677     4.273949E-8
         2118.564     3.614004E-8
         2120.455     4.441106E-8
         2122.348     5.742057E-8
         2124.241     5.357585E-8
         2126.135     3.047822E-8
         2128.033     1.234997E-8
         2129.932     1.237158E-8
         2131.832     2.511003E-8
         2133.734     2.004166E-8
         2135.637     9.703505E-9
         2137.544     8.748866E-9
          2139.45     2.198768E-8
         2141.359     4.232662E-8
          2143.27     5.094339E-8
         2145.182     4.541122E-8
         2147.096     3.191604E-8
         2149.011     1.717513E-8
         2150.929     1.017495E-8
         2152.848     1.207091E-8
         2154.768     1.276839E-8
         2156.692     9.024782E-9
         2158.615     8.936117E-9
         2160.541     1.399084E-8
         2162.469     1.945296E-8
         2164.397     2.079928E-8
          2166.33     1.175756E-8
         2168.263     6.148531E-9
         2170.196     6.101904E-9
         2172.133     8.515277E-9
          2174.07     9.857978E-9
         2176.011     5.466126E-9
         2177.953     7.796102E-9
         2179.895     1.609031E-8
          2181.84     1.728678E-8
         2183.787     2.862718E-8
         2185.735     3.548700E-8
         2187.686     2.367894E-8
         2189.637     1.814775E-8
          2191.59     1.993192E-8
         2193.546     2.614323E-8
         2195.503     2.235270E-8
         2197.462     1.716454E-8
         2199.423     1.545578E-8
         2201.385     1.361374E-8
         2203.348     8.983843E-9
         2205.315     8.675926E-9
         2207.283     1.546193E-8
         2209.252     2.431880E-8
         2211.222     3.565487E-8
         2213.196     4.086993E-8
          2215.17     4.063108E-8
         2217.147     3.090448E-8
         2219.125     1.710136E-8
         2221.104     1.191491E-8
         2223.086     1.358510E-8
         2225.071     1.757848E-8
         2227.055     1.571694E-8
         2229.042     1.017837E-8
         2231.031     1.146912E-8
         2233.021     1.257020E-8
         2235.015     8.369462E-9
         2237.008     5.826560E-9
         2239.003     6.575047E-9
         2241.002     1.252374E-8
         2242.999     2.060478E-8
         2245.002     1.823565E-8
         2247.005     1.040001E-8
         2249.009     9.134481E-9
         2251.016     1.299260E-8
         2253.024     1.743601E-8
         2255.033     1.978185E-8
         2257.046     1.700097E-8
         2259.061     1.363128E-8
         2261.075     1.390710E-8
         2263.092     1.581852E-8
         2265.112     1.492605E-8
         2267.134     1.277225E-8
         2269.156     1.014636E-8
         2271.181     7.188804E-9
         2273.207     8.387830E-9
         2275.234     1.407905E-8
