#  Table wf3fquvnsys.tab  Mon 12:23:15 02-Jun-97

#      WAVELENGTH      THROUGHPUT
#       angstroms                

            1215     0.
            1216.     2.383216E-8
            1217.     2.410506E-8
            1218.     2.437986E-8
            1219.     2.465656E-8
            1220.     2.493519E-8
            1221.     2.515861E-8
            1222.     2.538338E-8
            1223.     2.560949E-8
            1224.     2.583696E-8
            1225.     2.606581E-8
            1226.     2.629602E-8
            1227.     2.652759E-8
            1228.     2.676055E-8
            1229.     2.699490E-8
            1230.     2.723063E-8
            1231.     2.741652E-8
            1232.     2.760332E-8
            1233.     2.779103E-8
            1234.     2.797966E-8
            1235.     2.816919E-8
            1236.     2.835964E-8
            1237.     2.855102E-8
            1238.     2.874331E-8
            1239.     2.893652E-8
            1240.     2.913068E-8
            1241.     2.928451E-8
            1242.     2.943893E-8
            1243.     2.959395E-8
            1244.     2.974955E-8
            1245.     2.990577E-8
            1246.     3.006257E-8
            1247.     3.021999E-8
            1248.     3.037800E-8
            1249.     3.053660E-8
            1250.     3.069581E-8
            1251.     3.082506E-8
            1252.     3.095470E-8
            1253.     3.108472E-8
            1254.     3.121514E-8
            1255.     3.134595E-8
            1256.     3.147716E-8
            1257.     3.160875E-8
            1258.     3.174074E-8
            1259.     3.187312E-8
            1260.     3.200591E-8
            1261.     3.211377E-8
            1262.     3.222187E-8
            1263.     3.233021E-8
            1264.     3.243880E-8
            1265.     3.254763E-8
            1266.     3.265671E-8
            1267.     3.276602E-8
            1268.     3.287558E-8
            1269.     3.298538E-8
            1270.     3.309542E-8
            1271.     3.318432E-8
            1272.     3.327335E-8
            1273.     3.336251E-8
            1274.     3.345180E-8
            1275.     3.354123E-8
            1276.     3.363078E-8
            1277.     3.372047E-8
            1278.     3.381029E-8
            1279.     3.390024E-8
            1280.     3.399031E-8
            1281.     3.406377E-8
            1282.     3.413728E-8
            1283.     3.421084E-8
            1284.     3.428446E-8
            1285.     3.435812E-8
            1286.     3.443185E-8
            1287.     3.450562E-8
            1288.     3.457946E-8
            1289.     3.465334E-8
            1290.     3.472728E-8
            1291.     3.478916E-8
            1292.     3.485105E-8
            1293.     3.491294E-8
            1294.     3.497482E-8
            1295.     3.503673E-8
            1296.     3.509863E-8
            1297.     3.516053E-8
            1298.     3.522244E-8
            1299.     3.528434E-8
            1300.     3.534625E-8
            1301.     3.540053E-8
            1302.     3.545476E-8
            1303.     3.550898E-8
            1304.     3.556316E-8
            1305.     3.561732E-8
            1306.     3.567146E-8
            1307.     3.572556E-8
            1308.     3.577964E-8
            1309.     3.583368E-8
            1310.     3.588770E-8
            1311.     3.593569E-8
            1312.     3.598362E-8
            1313.     3.603152E-8
            1314.     3.607935E-8
            1315.     3.612714E-8
            1316.     3.617488E-8
            1317.     3.622257E-8
            1318.     3.627019E-8
            1319.     3.631776E-8
            1320.     3.636529E-8
            1321.     3.640798E-8
            1322.     3.645060E-8
            1323.     3.649315E-8
            1324.     3.653562E-8
            1325.     3.657803E-8
            1326.     3.662037E-8
            1327.     3.666262E-8
            1328.     3.670481E-8
            1329.     3.674693E-8
            1330.     3.678897E-8
            1331.     3.682662E-8
            1332.     3.686418E-8
            1333.     3.690166E-8
            1334.     3.693905E-8
            1335.     3.697634E-8
            1336.     3.701355E-8
            1337.     3.705066E-8
            1338.     3.708769E-8
            1339.     3.712461E-8
            1340.     3.716147E-8
            1341.     3.719530E-8
            1342.     3.722904E-8
            1343.     3.726267E-8
            1344.     3.729620E-8
            1345.     3.732962E-8
            1346.     3.736295E-8
            1347.     3.739618E-8
            1348.     3.742930E-8
            1349.     3.746231E-8
            1350.     3.749523E-8
            1351.     3.752590E-8
            1352.     3.755646E-8
            1353.     3.758691E-8
            1354.     3.761726E-8
            1355.     3.764220E-8
            1356.     3.766703E-8
            1357.     3.769175E-8
            1358.     3.771637E-8
            1359.     3.774089E-8
            1360.     3.776530E-8
            1361.     3.778839E-8
            1362.     3.781139E-8
            1363.     3.783425E-8
            1364.     3.785702E-8
            1365.     3.787967E-8
            1366.     3.790223E-8
            1367.     3.792465E-8
            1368.     3.794697E-8
            1369.     3.796918E-8
            1370.     3.799127E-8
            1371.     3.801321E-8
            1372.     3.803503E-8
