#  Table crwfpc2comp$wfpc2_f122m_004.tab  Thu 08:19:08 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1100.0    1.4031E-8           0.
      1130.0    0.0014031           0.
      1140.0     0.035077           0.
      1150.0     0.063138           0.
      1160.0     0.091199           0.
      1170.0        0.114           0.
      1180.0       0.1368           0.
      1190.0      0.15258           0.
      1200.0      0.16837           0.
      1210.0       0.1834           0.
      1220.0      0.18591           0.
      1230.0      0.18941           0.
      1240.0      0.19292           0.
      1250.0      0.19117           0.
      1260.0      0.18941           0.
      1270.0      0.16486           0.
      1280.0      0.14031           0.
      1290.0      0.12628           0.
      1300.0      0.11225           0.
      1310.0     0.096461           0.
      1320.0     0.080676           0.
      1330.0     0.061384           0.
      1340.0     0.042092           0.
      1350.0     0.035077           0.
      1360.0     0.028061           0.
      1370.0     0.024554           0.
      1400.0     0.022449           0.
      1500.0     0.014031           0.
      1600.0     0.010102           0.
      1700.0    0.0070153           0.
      1800.0    0.0047704           0.
      1900.0    0.0033674           0.
      1990.0    0.0023614           0.
      2000.0    0.0022744           0.
      2010.0    0.0021944           0.
      2020.0    0.0021102           0.
      2030.0    0.0020485           0.
      2040.0    0.0019713           0.
      2050.0    0.0019053           0.
      2060.0    0.0018366           0.
      2070.0    0.0017833           0.
      2080.0    0.0017173           0.
      2090.0    0.0016654           0.
      2100.0    0.0016037           0.
      2110.0    0.0015518           0.
      2120.0    0.0015013           0.
      2130.0    0.0014536           0.
      2140.0     0.001396           0.
      2150.0    0.0013624           0.
      2160.0    0.0013133           0.
      2170.0    0.0012726           0.
      2180.0    0.0012277           0.
      2190.0     0.001187           0.
      2200.0    0.0011463           0.
      2210.0     0.001114           0.
      2220.0    0.0010775           0.
      2230.0    0.0010439           0.
      2240.0    0.0010102           0.
      2250.0    9.7653E-4           0.
      2260.0    9.4566E-4           0.
      2270.0    9.2041E-4           0.
      2280.0    8.8673E-4           0.
      2290.0    8.5867E-4           0.
      2300.0    8.2781E-4           0.
      2310.0    8.0956E-4           0.
      2320.0    7.7870E-4           0.
      2330.0    7.5765E-4           0.
      2340.0    7.3520E-4           0.
      2350.0    7.1135E-4           0.
      2360.0    6.8890E-4           0.
      2370.0    6.7207E-4           0.
      2380.0    6.5383E-4           0.
      2390.0    6.3418E-4           0.
      2400.0    6.1594E-4           0.
      2410.0    5.9911E-4           0.
      2420.0    5.8227E-4           0.
      2430.0    5.6684E-4           0.
      2440.0    5.5140E-4           0.
      2450.0    5.3878E-4           0.
      2460.0    5.2334E-4           0.
      2470.0    5.0791E-4           0.
      2480.0    4.9668E-4           0.
      2490.0    4.8125E-4           0.
      2500.0    4.7003E-4           0.
      2510.0    4.5880E-4           0.
      2520.0    4.4617E-4           0.
      2530.0    4.3775E-4           0.
      2540.0    4.2372E-4           0.
      2550.0    4.1390E-4           0.
      2560.0    4.0689E-4           0.
      2570.0    3.9566E-4           0.
      2580.0    3.8865E-4           0.
      2590.0    3.7742E-4           0.
      2600.0    3.7041E-4           0.
      2610.0    3.6339E-4           0.
      2620.0    3.5638E-4           0.
      2630.0    3.4515E-4           0.
      2640.0    3.4235E-4           0.
      2650.0    3.3253E-4           0.
      2660.0    3.2832E-4           0.
      2670.0    3.1850E-4           0.
      2680.0    3.1429E-4           0.
      2690.0    3.0867E-4           0.
      2700.0    3.0166E-4           0.
      2710.0    2.9745E-4           0.
      2720.0    2.9043E-4           0.
      2730.0    2.8482E-4           0.
      2740.0    2.7921E-4           0.
      2750.0    2.7500E-4           0.
      2760.0    2.6939E-4           0.
      2770.0    2.6378E-4           0.
      2780.0    2.5957E-4           0.
      2790.0    2.5816E-4           0.
      2800.0    2.5115E-4           0.
      2810.0    2.4694E-4           0.
      2820.0    2.4133E-4           0.
      2830.0    2.3852E-4           0.
      2840.0    2.3571E-4           0.
      2850.0    2.3291E-4           0.
      2860.0    2.2730E-4           0.
      2870.0    2.2168E-4           0.
      2880.0    2.1888E-4           0.
      2890.0    2.1467E-4           0.
      2900.0    2.1186E-4           0.
      2910.0    2.0906E-4           0.
      2920.0    2.0625E-4           0.
      2930.0    2.0064E-4           0.
      2940.0    1.9643E-4           0.
      2950.0    1.9503E-4           0.
      2960.0    1.9362E-4           0.
      2970.0    1.9082E-4           0.
      2980.0    1.8801E-4           0.
      2990.0    1.8661E-4           0.
      3000.0    1.8100E-4           0.
      3010.0    1.7959E-4           0.
      3020.0    1.7538E-4           0.
      3030.0    1.7258E-4           0.
      3040.0    1.6696E-4           0.
      3050.0    1.6556E-4           0.
      3060.0    1.6416E-4           0.
      3070.0    1.6135E-4           0.
      3080.0    1.5855E-4           0.
      3090.0    1.5434E-4           0.
      3100.0    1.5855E-4           0.
      3110.0    1.5434E-4           0.
      3120.0    1.5153E-4           0.
      3130.0    1.5013E-4           0.
      3140.0    1.4732E-4           0.
      3150.0    1.4592E-4           0.
      3160.0    1.4311E-4           0.
      3170.0    1.4031E-4           0.
      3180.0    1.3610E-4           0.
      3190.0    1.3610E-4           0.
