#  Table crwfpc2comp$wfpc2_f160bw_004.tab  Thu 08:19:08 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1150.0      0.02708           0.
      1160.0     0.037799           0.
      1170.0     0.048518           0.
      1180.0     0.059238           0.
      1190.0     0.069957           0.
      1200.0     0.080676           0.
      1210.0     0.083228           0.
      1220.0     0.085781           0.
      1230.0     0.088334           0.
      1240.0     0.090887           0.
      1250.0      0.09344           0.
      1260.0     0.095992           0.
      1270.0     0.098545           0.
      1280.0       0.1011           0.
      1290.0      0.10365           0.
      1300.0       0.1062           0.
      1310.0      0.10774           0.
      1320.0      0.10927           0.
      1330.0       0.1108           0.
      1340.0      0.11233           0.
      1350.0      0.11387           0.
      1360.0       0.1154           0.
      1370.0      0.11693           0.
      1380.0      0.11847           0.
      1390.0         0.12           0.
      1400.0      0.12153           0.
      1410.0      0.12136           0.
      1420.0      0.12118           0.
      1430.0      0.12101           0.
      1440.0      0.12083           0.
      1450.0      0.12066           0.
      1460.0      0.12048           0.
      1470.0      0.12031           0.
      1480.0      0.12013           0.
      1490.0      0.11996           0.
      1500.0      0.11978           0.
      1510.0      0.11831           0.
      1520.0      0.11684           0.
      1530.0      0.11537           0.
      1540.0      0.11391           0.
      1550.0      0.11244           0.
      1560.0      0.11097           0.
      1570.0       0.1095           0.
      1580.0      0.10804           0.
      1590.0      0.10657           0.
      1600.0       0.1051           0.
      1610.0      0.10255           0.
      1620.0     0.099994           0.
      1630.0     0.097441           0.
      1640.0     0.094888           0.
      1650.0     0.092335           0.
      1660.0     0.089783           0.
      1670.0      0.08723           0.
      1680.0     0.084677           0.
      1690.0     0.082124           0.
      1700.0     0.079571           0.
      1710.0      0.07759           0.
      1720.0     0.075609           0.
      1730.0     0.073628           0.
      1740.0     0.071647           0.
      1750.0     0.069666           0.
      1760.0     0.067684           0.
      1770.0     0.065703           0.
      1780.0     0.063722           0.
      1790.0     0.061741           0.
      1800.0      0.05976           0.
      1810.0     0.056447           0.
      1820.0     0.053134           0.
      1830.0     0.049821           0.
      1840.0     0.046509           0.
      1850.0     0.043196           0.
      1860.0     0.039883           0.
      1870.0      0.03657           0.
      1880.0     0.033258           0.
      1890.0     0.029945           0.
      1900.0     0.026632           0.
      1910.0     0.024992           0.
      1920.0     0.023352           0.
      1930.0     0.021712           0.
      1940.0     0.020071           0.
      1950.0     0.018431           0.
      1960.0     0.016791           0.
      1970.0     0.015151           0.
      1980.0     0.013511           0.
      1990.0     0.011871           0.
      2000.0     0.010014           0.
      2010.0      0.00896           0.
      2020.0    0.0075896           0.
      2030.0    0.0063247           0.
      2040.0    0.0052706           0.
      2050.0    0.0044273           0.
      2060.0    0.0039002           0.
      2070.0    0.0030569           0.
      2080.0    0.0023191           0.
      2090.0    0.0018974           0.
      2100.0    0.0012649           0.
      2110.0    8.4329E-4           0.
      2120.0    4.7934E-4           0.
      2130.0    3.0406E-4           0.
      2140.0    1.9908E-4           0.
      2150.0    1.3398E-4           0.
      2160.0    9.2347E-5           0.
      2170.0    6.4998E-5           0.
      2180.0    4.6602E-5           0.
      2190.0    3.3967E-5           0.
      2200.0    2.5126E-5           0.
      2210.0    1.8836E-5           0.
      2220.0    1.4292E-5           0.
      2230.0    1.0964E-5           0.
      2240.0    8.4973E-6           0.
      2250.0    6.6473E-6           0.
      2260.0    5.2452E-6           0.
      2270.0    4.1722E-6           0.
      2280.0    3.3437E-6           0.
      2290.0    2.6985E-6           0.
      2300.0    2.1922E-6           0.
      2310.0    1.7919E-6           0.
      2320.0    1.4732E-6           0.
      2330.0    1.2179E-6           0.
      2340.0    1.0121E-6           0.
      2350.0    8.4518E-7           0.
      2360.0    7.0913E-7           0.
      2370.0    5.9764E-7           0.
      2380.0    5.0582E-7           0.
      2390.0    4.2985E-7           0.
      2400.0    3.6671E-7           0.
      2410.0    3.1400E-7           0.
      2420.0    2.6982E-7           0.
      2430.0    2.3265E-7           0.
      2440.0    2.0126E-7           0.
      2450.0    1.7466E-7           0.
      2460.0    1.5203E-7           0.
      2470.0    1.3271E-7           0.
      2480.0    1.1618E-7           0.
      2490.0    1.0198E-7           0.
      2500.0    8.9755E-8           0.
      2510.0    7.9193E-8           0.
      2520.0    7.0045E-8           0.
      2530.0    6.2100E-8           0.
      2540.0    5.5182E-8           0.
      2550.0    4.9143E-8           0.
      2560.0    4.3859E-8           0.
      2570.0    3.9224E-8           0.
      2580.0    3.5149E-8           0.
      2590.0    3.1559E-8           0.
      2600.0    2.8389E-8           0.
      2610.0    2.5585E-8           0.
      2620.0    2.3099E-8           0.
      2630.0    2.0890E-8           0.
      2640.0    1.8924E-8           0.
      2650.0    1.7172E-8           0.
      2660.0    1.5606E-8           0.
      2670.0    1.4205E-8           0.
      2680.0    1.2950E-8           0.
      2690.0    1.1822E-8           0.
      2700.0    1.0808E-8           0.
      2710.0    9.8953E-9           0.
      2720.0    9.0715E-9           0.
      2730.0    8.3274E-9           0.
      2740.0    7.6541E-9           0.
      2750.0    7.0441E-9           0.
      2760.0    6.4907E-9           0.
      2770.0    5.9879E-9           0.
      2780.0    5.5304E-9           0.
      2790.0    5.1138E-9           0.
      2800.0    4.7337E-9           0.
      2810.0    4.3867E-9           0.
      2820.0    4.0695E-9           0.
      2830.0    3.7790E-9           0.
      2840.0    3.5129E-9           0.
      2850.0    3.2687E-9           0.
      2860.0    3.0445E-9           0.
      2870.0    2.8383E-9           0.
      2880.0    2.6485E-9           0.
      2890.0    2.4736E-9           0.
      2900.0    2.3124E-9           0.
      2910.0    2.1635E-9           0.
      2920.0    2.0259E-9           0.
      2930.0    1.8986E-9           0.
      2940.0    1.7808E-9           0.
      2950.0    1.6716E-9           0.
      2960.0    1.5703E-9           0.
      2970.0    1.4763E-9           0.
      2980.0    1.3889E-9           0.
      2990.0    1.3077E-9           0.
      3000.0    1.2321E-9           0.
      3010.0    1.1617E-9           0.
      3020.0    1.0960E-9           0.
      3030.0    1.0348E-9           0.
      3040.0   9.7758E-10           0.
      3050.0   9.2416E-10           0.
      3060.0   8.7422E-10           0.
      3070.0   8.2749E-10           0.
      3080.0   7.8374E-10           0.
      3090.0   7.4275E-10           0.
      3100.0   7.0433E-10           0.
      3110.0   6.6827E-10           0.
      3120.0   6.3443E-10           0.
      3130.0   6.0264E-10           0.
      3140.0   5.7276E-10           0.
      3150.0   5.4466E-10           0.
      3160.0   5.1821E-10           0.
      3170.0   4.9331E-10           0.
      3180.0   4.6985E-10           0.
      3190.0   4.4773E-10           0.
      3200.0   4.2686E-10           0.
      3210.0   4.0717E-10           0.
      3220.0   3.8857E-10           0.
      3230.0   3.7101E-10           0.
      3240.0   3.5439E-10           0.
      3250.0   3.3868E-10           0.
      3260.0   3.2382E-10           0.
      3270.0   3.0975E-10           0.
      3280.0   2.9641E-10           0.
      3290.0   2.8377E-10           0.
      3300.0   2.7179E-10           0.
      3310.0   2.6043E-10           0.
      3320.0   2.4964E-10           0.
      3330.0   2.3940E-10           0.
      3340.0   2.2967E-10           0.
      3350.0   2.2042E-10           0.
      3360.0   2.1163E-10           0.
      3370.0   2.0326E-10           0.
      3380.0   1.9530E-10           0.
      3390.0   1.8773E-10           0.
      3400.0   1.8051E-10           0.
      3410.0   1.7363E-10           0.
      3420.0   1.6708E-10           0.
      3430.0   1.6083E-10           0.
      3440.0   1.5486E-10           0.
      3450.0   1.4917E-10           0.
      3460.0   1.4374E-10           0.
      3470.0   1.3855E-10           0.
      3480.0   1.3359E-10           0.
      3490.0   1.2885E-10           0.
      3500.0   1.2432E-10           0.
      3510.0   1.1999E-10           0.
      3520.0   1.1584E-10           0.
      3530.0   1.1187E-10           0.
      3540.0   1.0807E-10           0.
      3550.0   1.0443E-10           0.
      3560.0   1.0094E-10           0.
