#  Table crwfpc2comp$wfpc2_f390n_004.tab  Thu 08:19:09 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    1.5133E-5           0.
      1860.0    7.5240E-6           0.
      1870.0    2.5001E-6           0.
      1880.0    1.3864E-6           0.
      1890.0    2.7589E-6           0.
      1900.0    3.8488E-6           0.
      1910.0    1.9586E-6           0.
      1920.0    1.9209E-6           0.
      1930.0    2.9959E-6           0.
      1940.0    3.2042E-6           0.
      1950.0    3.2062E-6           0.
      1960.0    2.7480E-6           0.
      1970.0    1.5917E-6           0.
      1980.0    1.7265E-6           0.
      1990.0    2.7291E-6           0.
      2000.0    2.5496E-6           0.
      2010.0    2.1916E-6           0.
      2020.0    2.2789E-6           0.
      2030.0    2.3116E-6           0.
      2040.0    2.0806E-6           0.
      2050.0    2.0826E-6           0.
      2060.0    1.9983E-6           0.
      2070.0    1.9150E-6           0.
      2080.0    2.0756E-6           0.
      2090.0    2.0885E-6           0.
      2100.0    1.9983E-6           0.
      2110.0    1.9953E-6           0.
      2120.0    2.0280E-6           0.
      2130.0    1.9259E-6           0.
      2140.0    1.6363E-6           0.
      2150.0    1.5054E-6           0.
      2160.0    1.5827E-6           0.
      2170.0    1.6522E-6           0.
      2180.0    1.7087E-6           0.
      2190.0    1.7196E-6           0.
      2200.0    1.6105E-6           0.
      2210.0    1.5966E-6           0.
      2220.0    1.5818E-6           0.
      2230.0    1.4945E-6           0.
      2240.0    1.4687E-6           0.
      2250.0    1.5163E-6           0.
      2260.0    1.5143E-6           0.
      2270.0    1.4270E-6           0.
      2280.0    1.3249E-6           0.
      2290.0    1.3269E-6           0.
      2300.0    1.3804E-6           0.
      2310.0    1.4280E-6           0.
      2320.0    1.4459E-6           0.
      2330.0    1.4092E-6           0.
      2340.0    1.3259E-6           0.
      2350.0    1.3408E-6           0.
      2360.0    1.4756E-6           0.
      2370.0    1.5619E-6           0.
      2380.0    1.5629E-6           0.
      2390.0    1.5014E-6           0.
      2400.0    1.4558E-6           0.
      2410.0    1.4637E-6           0.
      2420.0    1.4528E-6           0.
      2430.0    1.4151E-6           0.
      2440.0    1.3993E-6           0.
      2450.0    1.3804E-6           0.
      2460.0    1.3428E-6           0.
      2470.0    1.3923E-6           0.
      2480.0    1.4132E-6           0.
      2490.0    1.3457E-6           0.
      2500.0    1.3576E-6           0.
      2510.0    1.4062E-6           0.
      2520.0    1.3794E-6           0.
      2530.0    1.2981E-6           0.
      2540.0    1.2585E-6           0.
      2550.0    1.3001E-6           0.
      2560.0    1.3666E-6           0.
      2570.0    1.4191E-6           0.
      2580.0    1.4122E-6           0.
      2590.0    1.3884E-6           0.
      2600.0    1.3527E-6           0.
      2610.0    1.3090E-6           0.
      2620.0    1.2614E-6           0.
      2630.0    1.3051E-6           0.
      2640.0    1.4032E-6           0.
      2650.0    1.3963E-6           0.
      2660.0    1.3864E-6           0.
      2670.0    1.4171E-6           0.
      2680.0    1.3993E-6           0.
      2690.0    1.3626E-6           0.
      2700.0    1.3487E-6           0.
      2710.0    1.3219E-6           0.
      2720.0    1.3477E-6           0.
      2730.0    1.3963E-6           0.
      2740.0    1.3725E-6           0.
      2750.0    1.3160E-6           0.
      2760.0    1.2952E-6           0.
      2770.0    1.3269E-6           0.
      2780.0    1.3318E-6           0.
      2790.0    1.2892E-6           0.
      2800.0    1.2654E-6           0.
      2810.0    1.3160E-6           0.
      2820.0    1.3299E-6           0.
      2830.0    1.3309E-6           0.
      2840.0    1.3636E-6           0.
      2850.0    1.3437E-6           0.
      2860.0    1.3348E-6           0.
      2870.0    1.3735E-6           0.
      2880.0    1.3457E-6           0.
      2890.0    1.3219E-6           0.
      2900.0    1.3110E-6           0.
      2910.0    1.2892E-6           0.
      2920.0    1.2327E-6           0.
      2930.0    1.2099E-6           0.
      2940.0    1.2833E-6           0.
      2950.0    1.3606E-6           0.
      2960.0    1.3685E-6           0.
      2970.0    1.3229E-6           0.
      2980.0    1.3001E-6           0.
      2990.0    1.3190E-6           0.
      3000.0    1.3705E-6           0.
      3010.0    1.3765E-6           0.
      3020.0    1.3348E-6           0.
      3030.0    1.2952E-6           0.
      3040.0    1.2961E-6           0.
      3050.0    1.2783E-6           0.
      3060.0    1.2634E-6           0.
      3070.0    1.3318E-6           0.
      3080.0    1.3745E-6           0.
      3090.0    1.3745E-6           0.
      3100.0    1.4181E-6           0.
      3110.0    1.4677E-6           0.
      3120.0    1.4965E-6           0.
      3130.0    1.4697E-6           0.
      3140.0    1.4052E-6           0.
      3150.0    1.3834E-6           0.
      3160.0    1.4310E-6           0.
      3170.0    1.4211E-6           0.
      3180.0    1.3566E-6           0.
      3190.0    1.3239E-6           0.
      3200.0    1.2833E-6           0.
      3210.0    1.2763E-6           0.
      3220.0    1.3447E-6           0.
      3230.0    1.3874E-6           0.
      3240.0    1.3190E-6           0.
      3250.0    1.2723E-6           0.
      3260.0    1.3219E-6           0.
      3270.0    1.3775E-6           0.
      3280.0    1.4380E-6           0.
      3290.0    1.4003E-6           0.
      3300.0    1.3556E-6           0.
      3310.0    1.3705E-6           0.
      3320.0    1.3626E-6           0.
      3330.0    1.3646E-6           0.
      3340.0    1.3864E-6           0.
      3350.0    1.4528E-6           0.
      3360.0    1.5272E-6           0.
      3370.0    1.6085E-6           0.
      3380.0    1.7097E-6           0.
      3390.0    1.6581E-6           0.
      3400.0    1.5867E-6           0.
      3410.0    1.4915E-6           0.
      3420.0    1.3566E-6           0.
      3430.0    1.2942E-6           0.
      3440.0    1.2674E-6           0.
      3450.0    1.2654E-6           0.
      3460.0    1.2823E-6           0.
      3470.0    1.3963E-6           0.
      3480.0    1.4816E-6           0.
      3490.0    1.4092E-6           0.
      3500.0    1.3715E-6           0.
      3510.0    1.4171E-6           0.
      3520.0    1.4469E-6           0.
      3530.0    1.4370E-6           0.
      3540.0    1.4866E-6           0.
      3550.0    1.5322E-6           0.
      3560.0    1.5728E-6           0.
      3570.0    1.5966E-6           0.
      3580.0    1.5361E-6           0.
      3590.0    1.4459E-6           0.
      3600.0    1.5133E-6           0.
      3610.0    1.6343E-6           0.
      3620.0    1.6532E-6           0.
      3630.0    1.7047E-6           0.
      3640.0    1.7732E-6           0.
      3650.0    1.7285E-6           0.
      3660.0    1.7345E-6           0.
      3670.0    1.8128E-6           0.
      3680.0    1.9279E-6           0.
      3690.0    2.0865E-6           0.
      3700.0    2.2174E-6           0.
      3710.0    2.3315E-6           0.
      3720.0    2.5229E-6           0.
      3730.0    3.0187E-6           0.
      3818.0    3.1050E-5           0.
      3822.0    4.4418E-5           0.
      3824.0    2.5308E-4           0.
      3826.0    3.3390E-4           0.
      3828.0    4.9823E-4           0.
      3830.0    6.8893E-4           0.
      3832.0     0.001078           0.
      3834.0    0.0015639           0.
      3836.0    0.0023969           0.
      3838.0    0.0036673           0.
      3840.0    0.0056021           0.
      3842.0    0.0086654           0.
      3844.0     0.013418           0.
      3846.0     0.020707           0.
      3848.0     0.032032           0.
      3850.0     0.048791           0.
      3852.0     0.072969           0.
      3854.0       0.1074           0.
      3856.0      0.15113           0.
      3858.0      0.19864           0.
      3860.0      0.24455           0.
      3862.0      0.27549           0.
      3864.0      0.29622           0.
      3866.0      0.30713           0.
      3868.0      0.31595           0.
      3870.0      0.32339           0.
      3872.0      0.33202           0.
      3874.0      0.34055           0.
      3876.0      0.34838           0.
      3878.0      0.35513           0.
      3880.0      0.35979           0.
      3882.0      0.36306           0.
      3884.0      0.36514           0.
      3886.0      0.36554           0.
      3888.0      0.36514           0.
      3890.0      0.36504           0.
      3892.0      0.36326           0.
      3894.0      0.36157           0.
      3896.0       0.3587           0.
      3898.0      0.35523           0.
      3900.0      0.35146           0.
      3902.0      0.34759           0.
      3904.0      0.34422           0.
      3906.0      0.34104           0.
      3908.0      0.33747           0.
      3910.0      0.33202           0.
      3912.0      0.32042           0.
      3914.0      0.29543           0.
      3916.0      0.25546           0.
      3918.0      0.19973           0.
      3920.0      0.14181           0.
      3922.0     0.092763           0.
      3924.0      0.05855           0.
      3926.0      0.03697           0.
      3928.0     0.023434           0.
      3930.0     0.015332           0.
      3932.0     0.010066           0.
      3934.0    0.0068129           0.
      3936.0    0.0047552           0.
      3938.0     0.003339           0.
      3940.0    0.0023354           0.
      3942.0    0.0017424           0.
      3944.0    0.0012267           0.
      3948.0    0.0010036           0.
      3950.0    9.1018E-4           0.
      4030.0    2.5219E-6           0.
      4040.0    2.1113E-6           0.
      4050.0    1.8406E-6           0.
      4060.0    1.6760E-6           0.
      4070.0    1.6601E-6           0.
      4080.0    1.6809E-6           0.
      4090.0    1.6006E-6           0.
      4100.0    1.5609E-6           0.
      4110.0    1.5322E-6           0.
      4120.0    1.4618E-6           0.
      4130.0    1.4251E-6           0.
      4140.0    1.4469E-6           0.
      4150.0    1.4657E-6           0.
      4160.0    1.4568E-6           0.
      4170.0    1.4647E-6           0.
      4180.0    1.4449E-6           0.
      4190.0    1.4330E-6           0.
      4200.0    1.4132E-6           0.
      4210.0    1.3537E-6           0.
      4220.0    1.3368E-6           0.
      4230.0    1.3765E-6           0.
      4240.0    1.4132E-6           0.
      4250.0    1.4280E-6           0.
      4260.0    1.4221E-6           0.
      4270.0    1.4181E-6           0.
      4280.0    1.3973E-6           0.
      4290.0    1.3834E-6           0.
      4300.0    1.3596E-6           0.
      4310.0    1.3616E-6           0.
      4320.0    1.3656E-6           0.
      4330.0    1.3120E-6           0.
      4340.0    1.2783E-6           0.
      4350.0    1.2991E-6           0.
      4360.0    1.3318E-6           0.
      4370.0    1.3715E-6           0.
      4380.0    1.4211E-6           0.
      4390.0    1.4578E-6           0.
      4400.0    1.4846E-6           0.
      4410.0    1.4737E-6           0.
      4420.0    1.4300E-6           0.
      4430.0    1.4251E-6           0.
      4440.0    1.4370E-6           0.
      4450.0    1.3794E-6           0.
      4460.0    1.3140E-6           0.
      4470.0    1.3378E-6           0.
      4480.0    1.3864E-6           0.
      4490.0    1.3874E-6           0.
      4500.0    1.3755E-6           0.
      4510.0    1.3804E-6           0.
      4520.0    1.3834E-6           0.
      4530.0    1.3745E-6           0.
      4540.0    1.3775E-6           0.
      4550.0    1.3943E-6           0.
      4560.0    1.3973E-6           0.
      4570.0    1.3943E-6           0.
      4580.0    1.3804E-6           0.
      4590.0    1.3666E-6           0.
      4600.0    1.3775E-6           0.
      4610.0    1.3904E-6           0.
      4620.0    1.4042E-6           0.
      4630.0    1.4161E-6           0.
      4640.0    1.3943E-6           0.
      4650.0    1.3963E-6           0.
      4660.0    1.4032E-6           0.
      4670.0    1.4082E-6           0.
      4680.0    1.4032E-6           0.
      4690.0    1.4032E-6           0.
      4700.0    1.4072E-6           0.
      4710.0    1.3963E-6           0.
      4720.0    1.3745E-6           0.
      4730.0    1.3834E-6           0.
      4740.0    1.4023E-6           0.
      4750.0    1.3854E-6           0.
      4760.0    1.3725E-6           0.
      4770.0    1.3556E-6           0.
      4780.0    1.3328E-6           0.
      4790.0    1.3269E-6           0.
      4800.0    1.3358E-6           0.
      4810.0    1.3537E-6           0.
      4820.0    1.3656E-6           0.
      4830.0    1.3487E-6           0.
      4840.0    1.3080E-6           0.
