#  Table crwfpc2comp$wfpc2_f547m_003.tab  Thu 11:00:13 20-Jul-95

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    3.3342E-7           0.
      1860.0    3.3342E-7           0.
      1870.0    7.0363E-7           0.
      1880.0    2.0730E-6           0.
      1890.0    1.1019E-5           0.
      1900.0    1.9033E-6           0.
      1910.0    3.3342E-7           0.
      1920.0    3.8139E-6           0.
      1930.0    1.6376E-5           0.
      1940.0    1.0260E-4           0.
      1950.0    8.7888E-5           0.
      1960.0    8.9659E-7           0.
      1970.0    1.3275E-5           0.
      1980.0    2.1859E-6           0.
      1990.0    4.5700E-7           0.
      2000.0    4.6459E-7           0.
      2010.0    2.7479E-6           0.
      2020.0    2.2101E-5           0.
      2030.0    7.8345E-7           0.
      2040.0    1.9159E-5           0.
      2050.0    2.5496E-5           0.
      2060.0    1.4404E-5           0.
      2070.0    8.8900E-6           0.
      2080.0    2.0635E-6           0.
      2090.0    4.1007E-6           0.
      2100.0    5.1858E-6           0.
      2110.0    3.3342E-7           0.
      2120.0    5.4473E-7           0.
      2130.0    3.6220E-7           0.
      2140.0    1.2811E-6           0.
      2150.0    1.0513E-5           0.
      2160.0    7.6974E-6           0.
      2170.0    3.3342E-7           0.
      2180.0    4.4012E-6           0.
      2190.0    3.7254E-7           0.
      2200.0    3.3342E-7           0.
      2210.0    3.3342E-7           0.
      2220.0    3.3342E-7           0.
      2230.0    3.8603E-6           0.
      2240.0    5.6033E-7           0.
      2250.0    1.0450E-6           0.
      2260.0    3.9204E-7           0.
      2270.0    7.9400E-6           0.
      2280.0    3.3342E-7           0.
      2290.0    3.3342E-7           0.
      2300.0    5.4789E-7           0.
      2310.0    3.3342E-7           0.
      2320.0    4.8578E-7           0.
      2330.0    6.1622E-7           0.
      2340.0    8.5199E-7           0.
      2350.0    1.2073E-6           0.
      2360.0    5.9102E-7           0.
      2370.0    4.8220E-7           0.
      2380.0    2.0783E-6           0.
      2390.0    2.0962E-6           0.
      2400.0    3.7633E-6           0.
      2410.0    5.1668E-6           0.
      2420.0    5.7404E-7           0.
      2430.0    4.7028E-6           0.
      2440.0    1.1145E-6           0.
      2450.0    9.3392E-7           0.
      2460.0    1.8421E-6           0.
      2470.0    3.3342E-7           0.
      2480.0    3.1475E-6           0.
      2490.0    3.2329E-6           0.
      2500.0    7.9916E-7           0.
      2510.0    3.9057E-7           0.
      2520.0    4.0185E-7           0.
      2530.0    2.4337E-6           0.
      2540.0    3.1644E-6           0.
      2550.0    3.3342E-7           0.
      2560.0    3.6600E-7           0.
      2570.0    4.4740E-6           0.
      2580.0    4.6522E-7           0.
      2590.0    1.1810E-6           0.
      2600.0    3.3342E-7           0.
      2610.0    1.9750E-6           0.
      2620.0    6.3899E-7           0.
      2630.0    1.2295E-6           0.
      2640.0    5.6845E-6           0.
      2650.0    1.2073E-6           0.
      2660.0    8.4703E-7           0.
      2670.0    1.9918E-6           0.
      2680.0    1.2780E-6           0.
      2690.0    1.6681E-6           0.
      2700.0    5.8996E-7           0.
      2710.0    4.5130E-6           0.
      2720.0    1.2748E-6           0.
      2730.0    3.3342E-7           0.
      2740.0    4.0037E-6           0.
      2750.0    1.4804E-6           0.
      2760.0    4.8199E-7           0.
      2770.0    1.5806E-6           0.
      2780.0    3.3342E-7           0.
      2790.0    9.0429E-7           0.
      2800.0    3.8498E-7           0.
      2810.0    3.6041E-7           0.
      2820.0    5.5221E-7           0.
      2830.0    4.7081E-6           0.
      2840.0    4.6859E-7           0.
      2850.0    5.0961E-7           0.
      2860.0    5.8954E-7           0.
      2870.0    4.4835E-7           0.
      2880.0    8.1656E-6           0.
      2890.0    5.9218E-7           0.
      2900.0    3.5229E-7           0.
      2910.0    3.3342E-7           0.
      2920.0    3.3342E-7           0.
      2930.0    6.3362E-7           0.
      2940.0    4.3485E-6           0.
      2950.0    9.0914E-6           0.
      2960.0    3.3342E-7           0.
      2970.0    2.3693E-6           0.
      2980.0    2.1764E-6           0.
      2990.0    3.3342E-7           0.
      3000.0    6.4943E-7           0.
      3010.0    4.7482E-6           0.
      3020.0    1.3360E-6           0.
      3030.0    3.3342E-7           0.
      3040.0    1.8210E-6           0.
      3050.0    2.0256E-6           0.
      3060.0    4.7081E-6           0.
      3070.0    3.8245E-6           0.
      3080.0    1.0224E-6           0.
      3090.0    9.4151E-6           0.
      3100.0    4.9327E-7           0.
      3110.0    3.3342E-7           0.
      3120.0    4.7777E-7           0.
      3130.0    6.4490E-7           0.
      3140.0    3.7623E-6           0.
      3150.0    3.3342E-7           0.
      3160.0    3.5334E-7           0.
      3170.0    1.0428E-5           0.
      3180.0    5.6740E-6           0.
      3190.0    3.9974E-6           0.
      3200.0    6.4722E-6           0.
      3210.0    6.0704E-7           0.
      3220.0    5.9523E-6           0.
      3230.0    3.2951E-6           0.
      3240.0    3.3342E-7           0.
      3250.0    3.4185E-7           0.
      3260.0    1.6133E-6           0.
      3270.0    5.9597E-7           0.
      3280.0    3.3342E-7           0.
      3290.0    3.4544E-7           0.
      3300.0    1.9012E-6           0.
      3310.0    3.3342E-7           0.
      3320.0    6.7643E-7           0.
      3330.0    5.7541E-6           0.
      3340.0    4.2452E-7           0.
      3350.0    3.5756E-6           0.
      3360.0    2.6182E-6           0.
      3370.0    9.8675E-7           0.
      3380.0    3.3342E-7           0.
      3390.0    3.5398E-7           0.
      3400.0    3.9362E-7           0.
      3410.0    5.2733E-6           0.
      3420.0    1.5796E-6           0.
      3430.0    4.1745E-6           0.
      3440.0    1.2685E-6           0.
      3450.0    2.5939E-6           0.
      3460.0    4.8620E-7           0.
      3470.0    2.6319E-6           0.
      3480.0    5.6223E-7           0.
      3490.0    4.3116E-7           0.
      3500.0    1.6607E-6           0.
      3510.0    1.8390E-6           0.
      3520.0    3.4723E-7           0.
      3530.0    3.3342E-7           0.
      3540.0    3.3342E-7           0.
      3550.0    1.9718E-6           0.
      3560.0    3.6642E-6           0.
      3570.0    1.1451E-6           0.
      3580.0    4.2895E-6           0.
