#  Table crwfpc2comp$wfpc2_f606w_004.tab  Thu 08:19:10 15-May-97

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      4640.0    0.0000000           0.
      4650.0     0.001081           0.
      4660.0    0.0036069           0.
      4670.0     0.010338           0.
      4680.0     0.021974           0.
      4720.0      0.12718           0.
      4722.0       0.1382           0.
      4724.0      0.14902           0.
      4726.0      0.15935           0.
      4728.0      0.16948           0.
      4730.0      0.17941           0.
      4732.0      0.18905           0.
      4734.0      0.19869           0.
      4736.0      0.20803           0.
      4738.0      0.21728           0.
      4740.0      0.22653           0.
      4742.0      0.23587           0.
      4744.0      0.24512           0.
      4746.0      0.25446           0.
      4748.0       0.2642           0.
      4750.0      0.27403           0.
      4752.0      0.28417           0.
      4754.0      0.29459           0.
      4756.0      0.30541           0.
      4758.0      0.31643           0.
      4760.0      0.32784           0.
      4762.0      0.33974           0.
      4764.0      0.35194           0.
      4766.0      0.36453           0.
      4768.0      0.37751           0.
      4770.0      0.39089           0.
      4772.0      0.40446           0.
      4774.0      0.41853           0.
      4776.0      0.43279           0.
      4778.0      0.44735           0.
      4780.0       0.4623           0.
      4782.0      0.47754           0.
      4784.0      0.49308           0.
      4786.0      0.50872           0.
      4788.0      0.52446           0.
      4790.0       0.5401           0.
      4792.0      0.55554           0.
      4794.0      0.57099           0.
      4796.0      0.58623           0.
      4798.0      0.60118           0.
      4800.0      0.61564           0.
      4802.0      0.62951           0.
      4804.0      0.64309           0.
      4806.0      0.65597           0.
      4808.0      0.66836           0.
      4810.0      0.67997           0.
      4812.0      0.69089           0.
      4814.0      0.70102           0.
      4816.0      0.71027           0.
      4818.0      0.71882           0.
      4820.0      0.72659           0.
      4822.0      0.73358           0.
      4824.0      0.73978           0.
      4826.0      0.74528           0.
      4828.0      0.74991           0.
      4830.0      0.75384           0.
      4832.0      0.75709           0.
      4834.0      0.75984           0.
      4836.0        0.762           0.
      4838.0      0.76358           0.
      4840.0      0.76466           0.
      4842.0      0.76535           0.
      4844.0      0.76574           0.
      4846.0      0.76584           0.
      4848.0      0.76564           0.
      4850.0      0.76525           0.
      4852.0      0.76466           0.
      4854.0      0.76387           0.
      4856.0      0.76299           0.
      4858.0      0.76191           0.
      4860.0      0.76092           0.
      4862.0      0.75994           0.
      4864.0      0.75905           0.
      4866.0      0.75827           0.
      4868.0      0.75758           0.
      4870.0      0.75699           0.
      4872.0       0.7564           0.
      4874.0      0.75591           0.
      4876.0      0.75551           0.
      4878.0      0.75532           0.
      4880.0      0.75532           0.
      4882.0      0.75541           0.
      4884.0      0.75561           0.
      4886.0      0.75591           0.
      4888.0       0.7564           0.
      4890.0      0.75728           0.
      4892.0      0.75827           0.
      4894.0      0.75945           0.
      4896.0      0.76073           0.
