#  Table crwfpc2comp$wfpc2_f622w_003.tab  Thu 11:00:15 20-Jul-95

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    1.5699E-4           0.
      1852.0    4.0077E-5           0.
      1854.0    7.4846E-6           0.
      1856.0    3.0732E-5           0.
      1858.0    1.1294E-4           0.
      1860.0    3.5961E-5           0.
      1862.0    2.3673E-5           0.
      1864.0    4.1897E-5           0.
      1866.0    4.2752E-5           0.
      1868.0    7.2579E-5           0.
      1870.0    7.1326E-5           0.
      1872.0    1.4794E-5           0.
      1874.0    1.3442E-5           0.
      1876.0    6.1453E-5           0.
      1878.0    3.9710E-5           0.
      1880.0    2.0392E-5           0.
      1882.0    3.1537E-5           0.
      1884.0    1.7568E-5           0.
      1886.0    8.1467E-6           0.
      1888.0    6.6584E-6           0.
      1890.0    1.4267E-5           0.
      1892.0    4.7355E-5           0.
      1894.0    4.3776E-5           0.
      1896.0    2.6586E-5           0.
      1898.0    1.3064E-5           0.
      1900.0    2.6367E-6           0.
      1902.0    4.0505E-7           0.
      1904.0    7.3871E-7           0.
      1906.0    8.0811E-6           0.
      1908.0    7.1694E-6           0.
      1910.0    6.5977E-7           0.
      1912.0    4.0077E-7           0.
      1914.0    4.6898E-7           0.
      1916.0    3.1438E-7           0.
      1918.0    4.1887E-7           0.
      1920.0    3.1448E-6           0.
      1922.0    6.9785E-6           0.
      1924.0    5.2525E-6           0.
      1926.0    5.3887E-6           0.
      1928.0    5.5041E-6           0.
      1930.0    1.3850E-5           0.
      1932.0    1.0887E-5           0.
      1934.0    2.3553E-6           0.
      1936.0    1.2249E-6           0.
      1938.0    1.5719E-6           0.
      1940.0    4.2235E-6           0.
      1942.0    4.6987E-6           0.
      1944.0    1.1633E-6           0.
      1946.0    9.3209E-7           0.
      1948.0    5.2078E-6           0.
      1950.0    2.0939E-5           0.
      1952.0    1.7896E-5           0.
      1954.0    1.1722E-5           0.
      1956.0    3.1000E-6           0.
      1958.0    1.4824E-6           0.
      1960.0    1.8731E-6           0.
      1962.0    5.6999E-7           0.
      1964.0    1.1623E-6           0.
      1966.0    8.0473E-6           0.
      1968.0    1.4257E-5           0.
      1970.0    1.2448E-5           0.
      1972.0    4.2136E-6           0.
      1974.0    1.1245E-6           0.
      1976.0    8.9123E-7           0.
      1978.0    1.9735E-6           0.
      1980.0    1.4406E-6           0.
      1982.0    1.7777E-6           0.
      1984.0    1.2169E-5           0.
      1986.0    2.8584E-5           0.
      1988.0    2.8057E-5           0.
      1990.0    2.0620E-5           0.
      1992.0    1.3571E-5           0.
      1994.0    7.9350E-6           0.
      1996.0    4.6112E-6           0.
      1998.0    4.8061E-6           0.
      2000.0    7.9449E-6           0.
      2002.0    9.9920E-6           0.
      2004.0    1.1016E-5           0.
      2006.0    8.5206E-6           0.
      2008.0    1.2826E-6           0.
      2010.0    7.3971E-7           0.
      2012.0    3.3665E-6           0.
      2014.0    5.0706E-6           0.
      2016.0    4.3627E-6           0.
      2018.0    3.3446E-6           0.
      2020.0    2.0889E-6           0.
      2022.0    2.0809E-6           0.
      2024.0    1.3870E-6           0.
      2026.0    1.9049E-6           0.
      2028.0    5.4852E-6           0.
      2030.0    7.1873E-6           0.
      2032.0    4.2096E-6           0.
      2034.0    3.6797E-6           0.
      2036.0    4.5526E-6           0.
      2038.0    4.6958E-6           0.
      2040.0    4.7176E-6           0.
      2042.0    4.4213E-6           0.
      2044.0    4.1121E-6           0.
      2046.0    6.3352E-6           0.
      2048.0    8.8854E-6           0.
      2050.0    7.3901E-6           0.
      2052.0    6.1980E-6           0.
      2054.0    6.5341E-6           0.
      2056.0    4.4820E-6           0.
      2058.0    2.6457E-6           0.
      2060.0    2.0849E-6           0.
      2062.0    3.0414E-6           0.
      2064.0    2.6964E-6           0.
      2066.0    2.0093E-6           0.
      2068.0    1.7071E-6           0.
      2070.0    6.3720E-7           0.
      2072.0    3.2989E-7           0.
      2074.0    9.8330E-7           0.
      2076.0    3.5961E-6           0.
      2078.0    2.6715E-6           0.
      2080.0    1.3949E-6           0.
      2082.0    1.1235E-6           0.
      2084.0    7.0203E-7           0.
      2086.0    5.1571E-7           0.
      2088.0    9.9721E-7           0.
      2090.0    1.4973E-6           0.
      2092.0    2.1555E-6           0.
      2094.0    2.7948E-6           0.
      2096.0    1.7837E-6           0.
      2098.0    6.5440E-7           0.
      2100.0    5.6104E-7           0.
      2102.0    9.7067E-7           0.
      2104.0    4.9423E-7           0.
      2106.0    4.8648E-7           0.
      2108.0    7.8176E-7           0.
      2110.0    3.9431E-7           0.
      2112.0    5.0467E-7           0.
      2114.0    2.1903E-6           0.
      2116.0    3.3913E-6           0.
      2118.0    2.4756E-6           0.
      2120.0    2.9051E-6           0.
      2122.0    4.1141E-6           0.
      2124.0    4.0247E-6           0.
      2126.0    2.2549E-6           0.
      2128.0    8.7294E-7           0.
      2130.0    8.7154E-7           0.
      2132.0    1.8453E-6           0.
      2134.0    1.3353E-6           0.
      2136.0    5.3122E-7           0.
      2138.0    6.3164E-7           0.
      2140.0    1.8632E-6           0.
      2142.0    3.4271E-6           0.
      2144.0    3.5574E-6           0.
      2146.0    2.8147E-6           0.
      2148.0    1.6653E-6           0.
      2150.0    6.8940E-7           0.
      2152.0    6.9517E-7           0.
      2154.0    9.8628E-7           0.
      2156.0    6.6574E-7           0.
      2158.0    4.9970E-7           0.
      2160.0    8.2770E-7           0.
      2162.0    1.2328E-6           0.
      2164.0    1.5172E-6           0.
      2166.0    8.5424E-7           0.
      2168.0    4.1042E-7           0.
      2170.0    3.8666E-7           0.
      2172.0    5.5409E-7           0.
      2174.0    6.5838E-7           0.
      2176.0    3.5743E-7           0.
      2178.0    5.1332E-7           0.
      2180.0    1.0787E-6           0.
      2182.0    1.1285E-6           0.
      2184.0    1.9447E-6           0.
      2186.0    2.3514E-6           0.
      2188.0    1.3760E-6           0.
      2190.0    1.1235E-6           0.
      2192.0    1.3223E-6           0.
      2194.0    1.7817E-6           0.
      2196.0    1.3154E-6           0.
      2198.0    1.0161E-6           0.
      2200.0    9.7296E-7           0.
      2202.0    8.1378E-7           0.
      2204.0    4.4472E-7           0.
      2206.0    5.9197E-7           0.
      2208.0    1.1623E-6           0.
      2210.0    1.6942E-6           0.
      2212.0    2.4826E-6           0.
      2214.0    2.4717E-6           0.
      2216.0    2.4239E-6           0.
      2218.0    1.4148E-6           0.
      2220.0    7.0223E-7           0.
      2222.0    7.0064E-7           0.
