#  Table crwfpc2comp$wfpc2_f656n_003.tab  Thu 11:00:16 20-Jul-95

# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION

      1850.0    3.4383E-5           0.
      1860.0    2.4928E-5           0.
      1870.0    2.1593E-5           0.
      1880.0    1.3594E-5           0.
      1890.0    2.2904E-6           0.
      1900.0    3.7790E-7           0.
      1910.0    6.0341E-7           0.
      1920.0    2.7134E-6           0.
      1930.0    5.1330E-6           0.
      1940.0    4.7606E-6           0.
      1950.0    2.5606E-6           0.
      1960.0    1.1651E-6           0.
      1970.0    1.4435E-6           0.
      1980.0    2.5317E-6           0.
      1990.0    3.1002E-6           0.
      2000.0    2.9366E-6           0.
      2010.0    2.3292E-6           0.
      2020.0    1.7255E-6           0.
      2030.0    1.7047E-6           0.
      2040.0    1.8195E-6           0.
      2050.0    1.6116E-6           0.
      2060.0    1.8854E-6           0.
      2070.0    1.9279E-6           0.
      2080.0    1.7761E-6           0.
      2090.0    1.7878E-6           0.
      2100.0    1.6333E-6           0.
      2110.0    1.4597E-6           0.
      2120.0    1.5040E-6           0.
      2130.0    1.5808E-6           0.
      2140.0    1.5420E-6           0.
      2150.0    1.4254E-6           0.
      2160.0    1.4073E-6           0.
      2170.0    1.4832E-6           0.
      2180.0    1.6080E-6           0.
      2190.0    1.6821E-6           0.
      2200.0    1.5131E-6           0.
      2210.0    1.3251E-6           0.
      2220.0    1.2500E-6           0.
      2230.0    1.3260E-6           0.
      2240.0    1.4200E-6           0.
      2250.0    1.3820E-6           0.
      2260.0    1.1606E-6           0.
      2270.0    1.0521E-6           0.
      2280.0    1.1226E-6           0.
      2290.0    9.3007E-7           0.
      2300.0    6.9787E-7           0.
      2310.0    6.8512E-7           0.
      2320.0    7.0926E-7           0.
      2330.0    7.8907E-7           0.
      2340.0    1.1994E-6           0.
      2350.0    1.5682E-6           0.
      2360.0    1.6387E-6           0.
      2370.0    1.8158E-6           0.
      2380.0    2.0481E-6           0.
      2390.0    2.0246E-6           0.
      2400.0    1.7851E-6           0.
      2410.0    1.5564E-6           0.
      2420.0    1.5185E-6           0.
      2430.0    1.5230E-6           0.
      2440.0    1.3458E-6           0.
      2450.0    1.2536E-6           0.
      2460.0    1.2916E-6           0.
      2470.0    1.3061E-6           0.
      2480.0    1.2997E-6           0.
      2490.0    1.3043E-6           0.
      2500.0    1.3169E-6           0.
      2510.0    1.3784E-6           0.
      2520.0    1.3892E-6           0.
      2530.0    1.2925E-6           0.
      2540.0    1.1660E-6           0.
      2550.0    1.0440E-6           0.
      2560.0    1.0259E-6           0.
      2570.0    1.1976E-6           0.
      2580.0    1.2979E-6           0.
      2590.0    1.2916E-6           0.
      2600.0    1.3323E-6           0.
      2610.0    1.3838E-6           0.
      2620.0    1.4380E-6           0.
      2630.0    1.4751E-6           0.
      2640.0    1.5167E-6           0.
      2650.0    1.4742E-6           0.
      2660.0    1.3847E-6           0.
      2670.0    1.3341E-6           0.
      2680.0    1.2934E-6           0.
      2690.0    1.3097E-6           0.
      2700.0    1.3260E-6           0.
      2710.0    1.2916E-6           0.
      2720.0    1.3043E-6           0.
      2730.0    1.2997E-6           0.
      2740.0    1.2202E-6           0.
      2750.0    1.2220E-6           0.
      2760.0    1.1940E-6           0.
      2770.0    1.1334E-6           0.
      2780.0    1.0792E-6           0.
      2790.0    1.0232E-6           0.
      2800.0    1.1190E-6           0.
      2810.0    1.2139E-6           0.
      2820.0    1.0539E-6           0.
      2830.0    9.8249E-7           0.
      2840.0    1.1551E-6           0.
      2850.0    1.3070E-6           0.
      2860.0    1.2925E-6           0.
      2870.0    1.2184E-6           0.
      2880.0    1.1886E-6           0.
      2890.0    1.2220E-6           0.
      2900.0    1.2220E-6           0.
